# สำรองราคาสินค้า Wix (3jthailand.com) ก่อนเปลี่ยนสกุลเงิน USD -> THB
# site_id: 4e1f7c4b-3b37-4e7b-8449-c0f188998827
# ดึงผ่าน Wix Catalog V1 QueryProducts เมื่อ 29 ส.ค. 2569
# สินค้าทั้งหมด 290 ตัว | ราคา 0 = 168 ตัว | ราคา > 0 = 122 ตัว (ทุกตัวเป็น variant-managed)
# ช่วงราคา USD 24.00 - 880.00 | ไฟล์นี้เก็บเฉพาะ 122 ตัวที่มีราคา ที่เหลือ = 0 ทั้งหมด
# คอลัมน์: product_id <TAB> name <TAB> price_usd
product_id	name	price_usd
c5c6fe3b-78bb-478e-5c8b-7cbf02321af8	P11809CZ	36
3f4b6112-066d-4116-5a77-771914792b23	P11810CZ	31.2
5ea4457a-b94d-4ff5-22ca-d9b0a53a73c7	R10109CZ	67.2
b8d3dc8c-9c88-6df1-78fe-86fcbcbf7b76	R10105CZ	80
1db1972e-d07a-e6a3-cf5e-697336e47484	R10110CZ	64
2d26b942-11a9-eaaa-acbf-3d6d89f58270	RP10017	62.4
053bf809-8ae8-6bd0-a947-a6ae11024556	R10107CZ	105.6
b0af076e-c877-2166-7056-5b350e3145b4	RP10021	48
98703da4-d29c-9365-7dba-5f7b45d1d252	RP10022	52.8
ac2f720f-554b-96da-32d3-2a6ff5a0ddba	RP10020	48
e245f530-1161-6d5c-cb77-5f8b5561bd9f	RP10018	99.2
9805618d-707e-4789-16b9-3e1bd50cc431	RP10019	47.2
a172e380-8847-6a5c-c2f8-d49f26d79274	RP10023	52.8
cdf12234-99a7-3642-5982-0f859c62a9f9	EA15212ST	78.4
c0fbbad5-90f4-a9c8-3c81-8ee5816e6163	EA15218ST	119.2
38b9dbd7-1af1-53c6-4691-55b491ad4990	EA15216ST	71.2
06e2c5e0-05b3-0ddf-cbd8-5da69f6714ab	EA15214ST	55.2
827e3843-5d20-4f60-1224-b66473d57308	EA15215ST	69.6
be224165-86f3-add9-3088-bebc1debfbd5	BR0455ST	163.2
0c2cb396-0fc3-1292-815e-78b2e1569b68	EA15217ST	71.2
fb38e014-9a62-c147-6fe2-e9cdaa6619bf	R10101CZ	80
2526ceef-ddcb-1099-bb36-7354b9487ba5	R10000CZ	127.2
